node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r,hops
fd00::202:2:2:2,1229.5,223.64,774.1,-82.46,61.06,0.22,40.05,13.3,127.39,0.0
fd00::203:3:3:3,5640.77,6339.47,5001.48,-75.83,58.27,0.06,23.05,1.85,6.98,3.0
fd00::204:4:4:4,4690.22,4474.63,4880.92,-81.86,139.34,0.58,35.66,4.3,5.89,2.07
fd00::205:5:5:5,1569.94,493.63,1126.0,-88.67,17.48,0.84,23.23,1.38,39.54,0.0
fd00::206:6:6:6,1241.85,557.83,818.59,-89.71,9.98,0.48,20.28,0.08,10.13,0.0
fd00::207:7:7:7,1921.68,1629.93,1264.98,-90.68,19.91,0.17,21.44,3.07,36.48,1.0
fd00::208:8:8:8,3742.54,3609.15,3265.46,-79.54,99.46,0.15,29.62,0.46,0.62,2.0
fd00::209:9:9:9,7379.14,6718.43,7740.29,-43.71,350.43,0.0,57.0,1.43,1.43,3.0
fd00::20a:a:a:a,2428.29,2485.92,1685.02,-42.6,70.72,0.2,48.47,50.78,148.72,2.0
fd00::20b:b:b:b,1355.1,485.2,3102.5,-69.6,55.3,0.0,25.3,0.3,0.4,1.0
fd00::20c:c:c:c,2994.46,2119.27,2339.67,-70.62,276.31,0.38,58.35,10.58,32.71,1.04
fd00::20d:d:d:d,3251.53,2751.75,2746.48,-85.27,76.73,0.8,27.55,10.73,18.49,1.0
fd00::20e:e:e:e,2494.71,1791.14,2735.47,-67.51,190.73,0.78,85.39,48.0,152.35,1.67
fd00::20f:f:f:f,6097.6,6133.4,11121.2,-47.8,468.0,0.6,78.8,1.8,1.8,3.0
fd00::210:10:10:10,2478.22,2319.78,7109.22,-44.33,157.11,2.33,132.22,18.0,27.56,2.0
fd00::211:11:11:11,5872.39,7202.65,4797.26,-78.56,10.26,0.07,22.76,4.0,12.43,4.02
fd00::212:12:12:12,2188.0,2491.64,1208.91,-73.18,1491.36,2.55,567.18,165.55,229.64,2.55
fd00::213:13:13:13,4662.32,4690.0,4337.47,-42.21,189.42,1.16,125.63,19.95,41.37,2.11
