node,bin,bin_start_ms,bin_end_ms,rate_pkts_per_s,kind
fd00::202:2:2:2,20,20000,21000,0.0,server_sent
fd00::202:2:2:2,31,31000,32000,1.0,server_sent
fd00::202:2:2:2,42,42000,43000,1.0,server_sent
fd00::202:2:2:2,52,52000,53000,1.0,server_sent
fd00::202:2:2:2,63,63000,64000,1.0,server_sent
fd00::202:2:2:2,73,73000,74000,1.0,server_sent
fd00::202:2:2:2,85,85000,86000,1.0,server_sent
fd00::202:2:2:2,94,94000,95000,1.0,server_sent
fd00::202:2:2:2,105,105000,106000,1.0,server_sent
fd00::202:2:2:2,115,115000,116000,1.0,server_sent
fd00::202:2:2:2,126,126000,127000,1.0,server_sent
fd00::202:2:2:2,136,136000,137000,1.0,server_sent
fd00::202:2:2:2,147,147000,148000,1.0,server_sent
fd00::202:2:2:2,157,157000,158000,1.0,server_sent
fd00::202:2:2:2,168,168000,169000,1.0,server_sent
fd00::202:2:2:2,178,178000,179000,1.0,server_sent
fd00::202:2:2:2,189,189000,190000,1.0,server_sent
fd00::202:2:2:2,203,203000,204000,2.0,server_sent
fd00::202:2:2:2,212,212000,213000,1.0,server_sent
fd00::202:2:2:2,226,226000,227000,1.0,server_sent
fd00::202:2:2:2,232,232000,233000,1.0,server_sent
fd00::202:2:2:2,243,243000,244000,1.0,server_sent
fd00::202:2:2:2,256,256000,257000,1.0,server_sent
fd00::202:2:2:2,264,264000,265000,1.0,server_sent
fd00::202:2:2:2,438,438000,439000,17.0,server_sent
fd00::202:2:2:2,443,443000,444000,1.0,server_sent
fd00::202:2:2:2,453,453000,454000,1.0,server_sent
fd00::202:2:2:2,463,463000,464000,1.0,server_sent
fd00::202:2:2:2,706,706000,707000,24.0,server_sent
fd00::202:2:2:2,723,723000,724000,2.0,server_sent
fd00::202:2:2:2,989,989000,990000,26.0,server_sent
fd00::202:2:2:2,1001,1001000,1002000,2.0,server_sent
fd00::202:2:2:2,1012,1012000,1013000,1.0,server_sent
fd00::202:2:2:2,1024,1024000,1025000,1.0,server_sent
fd00::202:2:2:2,1032,1032000,1033000,1.0,server_sent
fd00::202:2:2:2,1046,1046000,1047000,1.0,server_sent
fd00::202:2:2:2,1053,1053000,1054000,1.0,server_sent
fd00::202:2:2:2,1064,1064000,1065000,1.0,server_sent
fd00::202:2:2:2,1076,1076000,1077000,1.0,server_sent
fd00::202:2:2:2,1084,1084000,1085000,1.0,server_sent
fd00::202:2:2:2,1095,1095000,1096000,1.0,server_sent
fd00::202:2:2:2,1105,1105000,1106000,1.0,server_sent
fd00::202:2:2:2,1116,1116000,1117000,1.0,server_sent
fd00::202:2:2:2,1316,1316000,1317000,20.0,server_sent
fd00::202:2:2:2,1326,1326000,1327000,1.0,server_sent
fd00::202:2:2:2,1337,1337000,1338000,1.0,server_sent
fd00::202:2:2:2,1347,1347000,1348000,1.0,server_sent
fd00::202:2:2:2,1655,1655000,1656000,31.0,server_sent
fd00::202:2:2:2,1664,1664000,1665000,1.0,server_sent
fd00::202:2:2:2,1834,1834000,1835000,17.0,server_sent
fd00::202:2:2:2,1844,1844000,1845000,1.0,server_sent
fd00::202:2:2:2,1854,1854000,1855000,1.0,server_sent
fd00::202:2:2:2,1863,1863000,1864000,1.0,server_sent
fd00::202:2:2:2,1874,1874000,1875000,1.0,server_sent
fd00::202:2:2:2,1884,1884000,1885000,1.0,server_sent
fd00::202:2:2:2,1895,1895000,1896000,1.0,server_sent
fd00::202:2:2:2,1905,1905000,1906000,1.0,server_sent
fd00::202:2:2:2,1916,1916000,1917000,1.0,server_sent
fd00::202:2:2:2,1927,1927000,1928000,1.0,server_sent
fd00::202:2:2:2,1937,1937000,1938000,1.0,server_sent
fd00::202:2:2:2,1948,1948000,1949000,1.0,server_sent
fd00::202:2:2:2,1958,1958000,1959000,1.0,server_sent
fd00::202:2:2:2,1969,1969000,1970000,1.0,server_sent
fd00::202:2:2:2,1979,1979000,1980000,1.0,server_sent
fd00::202:2:2:2,1994,1994000,1995000,2.0,server_sent
fd00::202:2:2:2,2002,2002000,2003000,1.0,server_sent
fd00::202:2:2:2,2015,2015000,2016000,1.0,server_sent
fd00::202:2:2:2,2023,2023000,2024000,1.0,server_sent
fd00::202:2:2:2,2032,2032000,2033000,1.0,server_sent
fd00::202:2:2:2,2047,2047000,2048000,1.0,server_sent
fd00::202:2:2:2,2233,2233000,2234000,19.0,server_sent
fd00::202:2:2:2,2243,2243000,2244000,1.0,server_sent
fd00::202:2:2:2,2253,2253000,2254000,1.0,server_sent
fd00::202:2:2:2,2264,2264000,2265000,1.0,server_sent
fd00::202:2:2:2,2274,2274000,2275000,1.0,server_sent
fd00::202:2:2:2,2285,2285000,2286000,1.0,server_sent
fd00::202:2:2:2,2295,2295000,2296000,1.0,server_sent
fd00::202:2:2:2,2306,2306000,2307000,1.0,server_sent
fd00::202:2:2:2,2317,2317000,2318000,1.0,server_sent
fd00::202:2:2:2,2327,2327000,2328000,1.0,server_sent
fd00::202:2:2:2,2337,2337000,2338000,1.0,server_sent
fd00::202:2:2:2,2348,2348000,2349000,1.0,server_sent
fd00::202:2:2:2,2358,2358000,2359000,1.0,server_sent
fd00::202:2:2:2,2369,2369000,2370000,1.0,server_sent
fd00::202:2:2:2,2379,2379000,2380000,1.0,server_sent
fd00::202:2:2:2,2392,2392000,2393000,2.0,server_sent
fd00::202:2:2:2,2402,2402000,2403000,1.0,server_sent
fd00::202:2:2:2,2412,2412000,2413000,1.0,server_sent
fd00::202:2:2:2,2422,2422000,2423000,1.0,server_sent
fd00::202:2:2:2,2432,2432000,2433000,1.0,server_sent
fd00::202:2:2:2,2443,2443000,2444000,1.0,server_sent
fd00::202:2:2:2,2453,2453000,2454000,1.0,server_sent
fd00::202:2:2:2,2464,2464000,2465000,1.0,server_sent
fd00::202:2:2:2,2474,2474000,2475000,1.0,server_sent
fd00::202:2:2:2,2485,2485000,2486000,1.0,server_sent
fd00::202:2:2:2,2495,2495000,2496000,1.0,server_sent
fd00::202:2:2:2,2506,2506000,2507000,1.0,server_sent
fd00::202:2:2:2,2516,2516000,2517000,1.0,server_sent
fd00::202:2:2:2,2527,2527000,2528000,1.0,server_sent
fd00::202:2:2:2,2537,2537000,2538000,1.0,server_sent
fd00::202:2:2:2,2548,2548000,2549000,1.0,server_sent
fd00::202:2:2:2,2558,2558000,2559000,1.0,server_sent
fd00::202:2:2:2,2737,2737000,2738000,18.0,server_sent
fd00::202:2:2:2,2748,2748000,2749000,1.0,server_sent
fd00::202:2:2:2,2758,2758000,2759000,1.0,server_sent
fd00::202:2:2:2,2769,2769000,2770000,1.0,server_sent
fd00::202:2:2:2,2781,2781000,2782000,2.0,server_sent
fd00::202:2:2:2,2793,2793000,2794000,1.0,server_sent
fd00::202:2:2:2,2804,2804000,2805000,1.0,server_sent
fd00::202:2:2:2,2812,2812000,2813000,1.0,server_sent
fd00::202:2:2:2,2822,2822000,2823000,1.0,server_sent
fd00::202:2:2:2,2832,2832000,2833000,1.0,server_sent
fd00::202:2:2:2,2843,2843000,2844000,1.0,server_sent
fd00::202:2:2:2,2853,2853000,2854000,1.0,server_sent
fd00::202:2:2:2,2864,2864000,2865000,1.0,server_sent
fd00::202:2:2:2,2875,2875000,2876000,1.0,server_sent
fd00::202:2:2:2,2885,2885000,2886000,1.0,server_sent
fd00::202:2:2:2,2895,2895000,2896000,1.0,server_sent
fd00::202:2:2:2,2906,2906000,2907000,1.0,server_sent
fd00::202:2:2:2,2916,2916000,2917000,1.0,server_sent
fd00::202:2:2:2,3095,3095000,3096000,18.0,server_sent
fd00::202:2:2:2,3106,3106000,3107000,1.0,server_sent
fd00::202:2:2:2,3117,3117000,3118000,1.0,server_sent
fd00::202:2:2:2,3127,3127000,3128000,1.0,server_sent
fd00::202:2:2:2,3138,3138000,3139000,1.0,server_sent
fd00::202:2:2:2,3148,3148000,3149000,1.0,server_sent
fd00::202:2:2:2,3159,3159000,3160000,1.0,server_sent
fd00::202:2:2:2,3169,3169000,3170000,1.0,server_sent
fd00::202:2:2:2,3181,3181000,3182000,2.0,server_sent
fd00::202:2:2:2,3191,3191000,3192000,1.0,server_sent
fd00::202:2:2:2,3203,3203000,3204000,1.0,server_sent
fd00::202:2:2:2,3214,3214000,3215000,1.0,server_sent
fd00::202:2:2:2,3223,3223000,3224000,1.0,server_sent
fd00::202:2:2:2,3237,3237000,3238000,1.0,server_sent
fd00::202:2:2:2,3381,3381000,3382000,15.0,server_sent
fd00::202:2:2:2,3395,3395000,3396000,1.0,server_sent
