node,cpu_energy_mj,lpm_energy_mj,radio_tx_energy_mj,radio_rx_energy_mj,node_time,total_sent,total_received,bytes_tx,bytes_rx,r2n_latency,lqi,rssi,server_sent,server_received,server_bytes_rx,n2r_latency,hops,rtt_latency,root_time_now
fd00::202:2:2:2,37,0,0,23,20903,1,0,60,0,0,0,0,0,1,60,27,0,0,20930
fd00::202:2:2:2,18,0,0,8,31432,2,1,60,12,44,100,-27,1,3,60,68,0,57,31500
fd00::202:2:2:2,18,0,0,8,41965,3,2,60,12,54,100,-27,2,5,60,35,0,62,42000
fd00::202:2:2:2,18,0,0,8,52494,4,3,60,12,64,100,-27,3,7,60,6,0,67,52500
fd00::202:2:2:2,18,0,0,8,63025,5,4,60,12,74,100,-27,4,9,60,45,0,72,63070
fd00::202:2:2:2,18,0,0,8,73556,6,5,60,12,14,100,-27,5,11,60,14,0,42,73570
fd00::202:2:2:2,18,0,0,8,84089,7,6,60,12,24,100,-27,6,13,60,51,0,47,84140
fd00::202:2:2:2,18,0,0,8,94618,8,7,60,12,34,100,-27,7,15,60,22,0,52,94640
fd00::202:2:2:2,18,0,0,8,105149,9,8,60,12,44,100,-27,8,17,60,61,0,57,105210
fd00::202:2:2:2,18,0,0,8,115682,10,9,60,12,54,100,-27,9,19,60,28,0,62,115710
fd00::202:2:2:2,18,0,0,8,126213,11,10,60,12,64,100,-27,10,21,60,67,0,67,126280
fd00::202:2:2:2,18,0,0,8,136742,12,11,60,12,144,100,-27,11,23,60,38,0,107,136780
fd00::202:2:2:2,18,0,0,8,147275,13,12,60,12,14,100,-27,12,25,60,5,0,42,147280
fd00::202:2:2:2,18,0,0,8,157806,14,13,60,12,24,100,-27,13,27,60,44,0,47,157850
fd00::202:2:2:2,18,0,0,8,168337,15,14,60,12,34,100,-27,14,29,60,13,0,52,168350
fd00::202:2:2:2,18,0,0,8,178866,16,15,60,12,44,100,-27,15,31,60,54,0,57,178920
fd00::202:2:2:2,18,0,0,8,189399,17,16,60,12,54,100,-27,16,33,60,21,0,62,189420
fd00::202:2:2:2,18,0,0,8,199930,18,17,60,12,64,100,-27,18,35,60,61,0,67,199991
fd00::202:2:2:2,18,0,0,8,210459,19,19,60,12,14,100,-27,19,38,60,31,0,42,210490
fd00::202:2:2:2,18,0,0,8,220990,20,20,60,12,24,100,-27,20,40,60,70,0,47,221060
fd00::202:2:2:2,18,0,0,8,231521,21,21,60,12,34,100,-27,21,42,60,39,0,52,231560
fd00::202:2:2:2,18,0,0,8,242052,22,22,60,12,44,100,-27,22,44,60,8,0,57,242060
fd00::202:2:2:2,18,0,0,8,252585,23,23,60,12,54,100,-27,23,46,60,45,0,62,252630
fd00::202:2:2:2,18,0,0,8,263114,24,24,60,12,64,100,-27,24,48,60,16,0,67,263130
fd00::202:2:2:2,18,0,0,8,273645,25,25,60,12,74,100,-27,25,50,60,55,0,72,273700
fd00::202:2:2:2,18,0,0,8,284176,26,26,60,12,14,100,-27,26,52,60,24,0,42,284200
fd00::202:2:2:2,18,0,0,8,294709,27,27,60,12,24,100,-27,27,54,60,61,0,47,294770
fd00::202:2:2:2,18,0,0,8,305238,28,28,60,12,34,100,-27,28,56,60,32,0,52,305270
fd00::202:2:2:2,18,0,0,8,315769,29,29,60,12,44,100,-27,29,58,60,71,0,57,315840
fd00::202:2:2:2,18,0,0,8,326302,30,30,60,12,54,100,-27,30,60,60,38,0,62,326340
fd00::202:2:2:2,18,0,0,8,336833,31,31,60,12,64,100,-27,31,62,60,7,0,67,336840
fd00::202:2:2:2,18,0,0,8,347362,32,32,60,12,74,100,-27,32,64,60,48,0,72,347410
fd00::202:2:2:2,18,0,0,8,357895,33,33,60,12,14,100,-27,33,66,60,15,0,42,357910
fd00::202:2:2:2,18,0,0,8,368426,34,34,60,12,24,100,-27,34,68,60,54,0,47,368480
fd00::202:2:2:2,18,0,0,8,378957,35,35,60,12,34,100,-27,35,70,60,23,0,52,378980
fd00::202:2:2:2,18,0,0,8,389488,36,36,60,12,44,100,-27,36,72,60,62,0,57,389550
fd00::202:2:2:2,18,0,0,8,400017,37,37,60,12,54,100,-27,38,74,60,733,0,62,400750
fd00::202:2:2:2,18,0,0,8,410549,38,39,60,12,73,100,-27,39,77,60,71,0,71,410620
fd00::202:2:2:2,18,0,0,8,421079,39,40,60,12,14,100,-27,40,79,60,41,0,42,421120
fd00::202:2:2:2,18,0,0,8,431610,40,41,60,12,24,100,-27,41,81,60,10,0,47,431620
fd00::202:2:2:2,18,0,0,8,442141,41,42,60,12,34,100,-27,42,83,60,49,0,52,442190
fd00::202:2:2:2,18,0,0,8,452672,42,43,60,12,44,100,-27,43,85,60,18,0,57,452690
fd00::202:2:2:2,18,0,0,8,463205,43,44,60,12,54,100,-27,44,87,60,55,0,62,463260
fd00::202:2:2:2,18,0,0,8,473734,44,45,60,12,64,100,-27,45,89,60,26,0,67,473760
fd00::202:2:2:2,18,0,0,8,484265,45,46,60,12,74,100,-27,46,91,60,65,0,72,484330
fd00::202:2:2:2,18,0,0,8,494796,46,47,60,12,14,100,-27,47,93,60,34,0,42,494830
fd00::202:2:2:2,18,0,0,8,505331,47,48,60,12,24,100,-27,48,95,60,69,0,47,505400
fd00::202:2:2:2,18,0,0,8,515858,48,49,60,12,34,100,-27,49,97,60,42,0,52,515900
fd00::202:2:2:2,18,0,0,8,526389,49,50,60,12,44,100,-27,50,99,60,11,0,57,526400
fd00::202:2:2:2,18,0,0,8,536922,50,51,60,12,54,100,-27,51,101,60,48,0,62,536970
fd00::202:2:2:2,18,0,0,8,547453,51,52,60,12,64,100,-27,52,103,60,17,0,67,547470
fd00::202:2:2:2,18,0,0,8,557982,52,53,60,12,74,100,-27,53,105,60,58,0,72,558040
fd00::202:2:2:2,18,0,0,8,568513,53,54,60,12,14,100,-27,54,107,60,27,0,42,568540
fd00::202:2:2:2,18,0,0,8,579046,54,55,60,12,24,100,-27,55,109,60,64,0,47,579110
fd00::202:2:2:2,18,0,0,8,589577,55,56,60,12,34,100,-27,56,111,60,33,0,52,589610
fd00::202:2:2:2,18,0,0,8,600106,56,58,60,12,54,100,-27,58,114,60,74,0,62,600180
fd00::202:2:2:2,18,0,0,8,610637,57,59,60,12,64,100,-27,59,116,60,43,0,67,610680
fd00::202:2:2:2,18,0,0,8,621168,58,60,60,12,74,100,-27,60,118,60,12,0,72,621180
fd00::202:2:2:2,18,0,0,8,631699,59,61,60,12,14,100,-27,61,120,60,51,0,77,631750
fd00::202:2:2:2,18,0,0,8,642230,60,62,60,12,24,100,-27,62,122,60,20,0,47,642250
fd00::202:2:2:2,18,0,0,8,652761,61,63,60,12,34,100,-27,63,124,60,59,0,52,652820
fd00::202:2:2:2,18,0,0,8,663294,62,64,60,12,44,100,-27,64,126,60,26,0,57,663320
fd00::202:2:2:2,18,0,0,8,673823,63,65,60,12,54,100,-27,65,128,60,67,0,62,673890
fd00::202:2:2:2,18,0,0,8,684354,64,66,60,12,64,100,-27,66,130,60,36,0,67,684390
fd00::202:2:2:2,18,0,0,8,694885,65,67,60,12,74,100,-27,67,132,60,75,0,72,694960
fd00::202:2:2:2,18,0,0,8,705418,66,68,60,12,14,100,-27,68,134,60,42,0,42,705460
fd00::202:2:2:2,18,0,0,8,715949,67,69,60,12,24,100,-27,69,136,60,11,0,47,715960
fd00::202:2:2:2,18,0,0,8,726478,68,70,60,12,34,100,-27,70,138,60,52,0,52,726530
fd00::202:2:2:2,18,0,0,8,737009,69,71,60,12,44,100,-27,71,140,60,21,0,57,737030
fd00::202:2:2:2,18,0,0,8,747542,70,72,60,12,54,100,-27,72,142,60,58,0,62,747600
fd00::202:2:2:2,18,0,0,8,758073,71,73,60,12,64,100,-27,73,144,60,27,0,67,758100
fd00::202:2:2:2,18,0,0,8,768602,72,74,60,12,74,100,-27,74,146,60,68,0,72,768670
fd00::202:2:2:2,18,0,0,8,779133,73,75,60,12,14,100,-27,75,148,60,37,0,42,779170
fd00::202:2:2:2,18,0,0,8,789666,74,76,60,12,23,100,-27,76,150,60,4,0,46,789670
fd00::202:2:2:2,18,0,0,8,800195,75,78,60,12,44,100,-27,78,153,60,45,0,57,800240
fd00::202:2:2:2,18,0,0,8,810726,76,79,60,12,54,100,-27,79,155,60,14,0,62,810740
fd00::202:2:2:2,18,0,0,8,821257,77,80,60,12,64,100,-27,80,157,60,53,0,67,821310
fd00::202:2:2:2,18,0,0,8,831788,78,81,60,12,74,100,-27,81,159,60,22,0,72,831810
fd00::202:2:2:2,18,0,0,8,842319,79,82,60,12,14,100,-27,82,161,60,61,0,42,842380
fd00::202:2:2:2,18,0,0,8,852852,80,83,60,12,24,100,-27,83,163,60,28,0,47,852880
fd00::202:2:2:2,18,0,0,8,863381,81,84,60,12,34,100,-27,84,165,60,69,0,52,863450
fd00::202:2:2:2,18,0,0,8,873912,82,85,60,12,44,100,-27,85,167,60,38,0,57,873950
fd00::202:2:2:2,18,0,0,8,884443,83,86,60,12,54,100,-27,86,169,60,7,0,62,884450
fd00::202:2:2:2,18,0,0,8,894976,84,87,60,12,64,100,-27,87,171,60,44,0,67,895020
fd00::202:2:2:2,18,0,0,8,905507,85,88,60,12,74,100,-27,88,173,60,13,0,72,905520
fd00::202:2:2:2,18,0,0,8,916036,86,89,60,12,14,100,-27,89,175,60,54,0,42,916090
fd00::202:2:2:2,18,0,0,8,926567,87,90,60,12,24,100,-27,90,177,60,23,0,47,926590
fd00::202:2:2:2,18,0,0,8,937100,88,91,60,12,34,100,-27,91,179,60,60,0,52,937160
fd00::202:2:2:2,18,0,0,8,947631,89,92,60,12,44,100,-27,92,181,60,29,0,57,947660
fd00::202:2:2:2,18,0,0,8,958160,90,93,60,12,54,100,-27,93,183,60,70,0,62,958230
fd00::202:2:2:2,18,0,0,8,968691,91,94,60,12,64,100,-27,94,185,60,39,0,67,968730
