node,bin,bin_start_ms,bin_end_ms,rate_pkts_per_s,kind
fd00::202:2:2:2,20,20000,21000,0.0,server_sent
fd00::202:2:2:2,31,31000,32000,1.0,server_sent
fd00::202:2:2:2,42,42000,43000,1.0,server_sent
fd00::202:2:2:2,52,52000,53000,1.0,server_sent
fd00::202:2:2:2,63,63000,64000,1.0,server_sent
fd00::202:2:2:2,73,73000,74000,1.0,server_sent
fd00::202:2:2:2,84,84000,85000,1.0,server_sent
fd00::202:2:2:2,94,94000,95000,1.0,server_sent
fd00::202:2:2:2,105,105000,106000,1.0,server_sent
fd00::202:2:2:2,115,115000,116000,1.0,server_sent
fd00::202:2:2:2,126,126000,127000,1.0,server_sent
fd00::202:2:2:2,136,136000,137000,1.0,server_sent
fd00::202:2:2:2,147,147000,148000,1.0,server_sent
fd00::202:2:2:2,157,157000,158000,1.0,server_sent
fd00::202:2:2:2,168,168000,169000,1.0,server_sent
fd00::202:2:2:2,178,178000,179000,1.0,server_sent
fd00::202:2:2:2,189,189000,190000,1.0,server_sent
fd00::202:2:2:2,199,199000,200000,2.0,server_sent
fd00::202:2:2:2,213,213000,214000,1.0,server_sent
fd00::202:2:2:2,221,221000,222000,1.0,server_sent
fd00::202:2:2:2,231,231000,232000,1.0,server_sent
fd00::202:2:2:2,242,242000,243000,1.0,server_sent
fd00::202:2:2:2,252,252000,253000,1.0,server_sent
fd00::202:2:2:2,263,263000,264000,1.0,server_sent
fd00::202:2:2:2,273,273000,274000,1.0,server_sent
fd00::202:2:2:2,284,284000,285000,1.0,server_sent
fd00::202:2:2:2,294,294000,295000,1.0,server_sent
fd00::202:2:2:2,305,305000,306000,1.0,server_sent
fd00::202:2:2:2,315,315000,316000,1.0,server_sent
fd00::202:2:2:2,326,326000,327000,1.0,server_sent
fd00::202:2:2:2,336,336000,337000,1.0,server_sent
fd00::202:2:2:2,347,347000,348000,1.0,server_sent
fd00::202:2:2:2,357,357000,358000,1.0,server_sent
fd00::202:2:2:2,368,368000,369000,1.0,server_sent
fd00::202:2:2:2,378,378000,379000,1.0,server_sent
fd00::202:2:2:2,389,389000,390000,1.0,server_sent
fd00::202:2:2:2,401,401000,402000,2.0,server_sent
fd00::202:2:2:2,413,413000,414000,1.0,server_sent
fd00::202:2:2:2,421,421000,422000,1.0,server_sent
fd00::202:2:2:2,431,431000,432000,1.0,server_sent
fd00::202:2:2:2,442,442000,443000,1.0,server_sent
fd00::202:2:2:2,452,452000,453000,1.0,server_sent
fd00::202:2:2:2,463,463000,464000,1.0,server_sent
fd00::202:2:2:2,473,473000,474000,1.0,server_sent
fd00::202:2:2:2,484,484000,485000,1.0,server_sent
fd00::202:2:2:2,494,494000,495000,1.0,server_sent
fd00::202:2:2:2,505,505000,506000,1.0,server_sent
fd00::202:2:2:2,515,515000,516000,1.0,server_sent
fd00::202:2:2:2,526,526000,527000,1.0,server_sent
fd00::202:2:2:2,536,536000,537000,1.0,server_sent
fd00::202:2:2:2,547,547000,548000,1.0,server_sent
fd00::202:2:2:2,558,558000,559000,1.0,server_sent
fd00::202:2:2:2,568,568000,569000,1.0,server_sent
fd00::202:2:2:2,579,579000,580000,1.0,server_sent
fd00::202:2:2:2,589,589000,590000,1.0,server_sent
fd00::202:2:2:2,600,600000,601000,2.0,server_sent
fd00::202:2:2:2,613,613000,614000,1.0,server_sent
fd00::202:2:2:2,622,622000,623000,1.0,server_sent
fd00::202:2:2:2,631,631000,632000,1.0,server_sent
fd00::202:2:2:2,642,642000,643000,1.0,server_sent
fd00::202:2:2:2,652,652000,653000,1.0,server_sent
fd00::202:2:2:2,663,663000,664000,1.0,server_sent
fd00::202:2:2:2,674,674000,675000,1.0,server_sent
fd00::202:2:2:2,684,684000,685000,1.0,server_sent
fd00::202:2:2:2,694,694000,695000,1.0,server_sent
fd00::202:2:2:2,705,705000,706000,1.0,server_sent
fd00::202:2:2:2,715,715000,716000,1.0,server_sent
fd00::202:2:2:2,726,726000,727000,1.0,server_sent
fd00::202:2:2:2,737,737000,738000,1.0,server_sent
fd00::202:2:2:2,747,747000,748000,1.0,server_sent
fd00::202:2:2:2,758,758000,759000,1.0,server_sent
fd00::202:2:2:2,768,768000,769000,1.0,server_sent
fd00::202:2:2:2,779,779000,780000,1.0,server_sent
fd00::202:2:2:2,789,789000,790000,1.0,server_sent
fd00::202:2:2:2,803,803000,804000,2.0,server_sent
fd00::202:2:2:2,810,810000,811000,1.0,server_sent
fd00::202:2:2:2,821,821000,822000,1.0,server_sent
fd00::202:2:2:2,831,831000,832000,1.0,server_sent
fd00::202:2:2:2,842,842000,843000,1.0,server_sent
fd00::202:2:2:2,853,853000,854000,1.0,server_sent
fd00::202:2:2:2,863,863000,864000,1.0,server_sent
fd00::202:2:2:2,873,873000,874000,1.0,server_sent
fd00::202:2:2:2,884,884000,885000,1.0,server_sent
fd00::202:2:2:2,895,895000,896000,1.0,server_sent
fd00::202:2:2:2,905,905000,906000,1.0,server_sent
fd00::202:2:2:2,916,916000,917000,1.0,server_sent
fd00::202:2:2:2,926,926000,927000,1.0,server_sent
fd00::202:2:2:2,937,937000,938000,1.0,server_sent
fd00::202:2:2:2,947,947000,948000,1.0,server_sent
fd00::202:2:2:2,958,958000,959000,1.0,server_sent
fd00::202:2:2:2,968,968000,969000,1.0,server_sent
fd00::202:2:2:2,979,979000,980000,1.0,server_sent
fd00::202:2:2:2,989,989000,990000,1.0,server_sent
fd00::202:2:2:2,1000,1000000,1001000,2.0,server_sent
fd00::202:2:2:2,1011,1011000,1012000,1.0,server_sent
fd00::202:2:2:2,1021,1021000,1022000,1.0,server_sent
fd00::202:2:2:2,1032,1032000,1033000,1.0,server_sent
fd00::202:2:2:2,1042,1042000,1043000,1.0,server_sent
fd00::202:2:2:2,1053,1053000,1054000,1.0,server_sent
fd00::202:2:2:2,1063,1063000,1064000,1.0,server_sent
fd00::202:2:2:2,1074,1074000,1075000,1.0,server_sent
fd00::202:2:2:2,1084,1084000,1085000,1.0,server_sent
fd00::202:2:2:2,1095,1095000,1096000,1.0,server_sent
fd00::202:2:2:2,1105,1105000,1106000,1.0,server_sent
fd00::202:2:2:2,1116,1116000,1117000,1.0,server_sent
fd00::202:2:2:2,1126,1126000,1127000,1.0,server_sent
fd00::202:2:2:2,1137,1137000,1138000,1.0,server_sent
fd00::202:2:2:2,1147,1147000,1148000,1.0,server_sent
fd00::202:2:2:2,1158,1158000,1159000,1.0,server_sent
fd00::202:2:2:2,1168,1168000,1169000,1.0,server_sent
fd00::202:2:2:2,1179,1179000,1180000,1.0,server_sent
fd00::202:2:2:2,1189,1189000,1190000,1.0,server_sent
fd00::202:2:2:2,1200,1200000,1201000,2.0,server_sent
fd00::202:2:2:2,1210,1210000,1211000,1.0,server_sent
fd00::202:2:2:2,1221,1221000,1222000,1.0,server_sent
fd00::202:2:2:2,1232,1232000,1233000,1.0,server_sent
fd00::202:2:2:2,1242,1242000,1243000,1.0,server_sent
fd00::202:2:2:2,1253,1253000,1254000,1.0,server_sent
fd00::202:2:2:2,1263,1263000,1264000,1.0,server_sent
fd00::202:2:2:2,1274,1274000,1275000,1.0,server_sent
fd00::202:2:2:2,1285,1285000,1286000,1.0,server_sent
fd00::202:2:2:2,1295,1295000,1296000,1.0,server_sent
fd00::202:2:2:2,1305,1305000,1306000,1.0,server_sent
fd00::202:2:2:2,1316,1316000,1317000,1.0,server_sent
fd00::202:2:2:2,1326,1326000,1327000,1.0,server_sent
fd00::202:2:2:2,1337,1337000,1338000,1.0,server_sent
fd00::202:2:2:2,1347,1347000,1348000,1.0,server_sent
fd00::202:2:2:2,1358,1358000,1359000,1.0,server_sent
fd00::202:2:2:2,1368,1368000,1369000,1.0,server_sent
fd00::202:2:2:2,1379,1379000,1380000,1.0,server_sent
fd00::202:2:2:2,1389,1389000,1390000,2.0,server_sent
fd00::202:2:2:2,1400,1400000,1401000,1.0,server_sent
fd00::202:2:2:2,1411,1411000,1412000,1.0,server_sent
fd00::202:2:2:2,1421,1421000,1422000,1.0,server_sent
fd00::202:2:2:2,1432,1432000,1433000,1.0,server_sent
fd00::202:2:2:2,1442,1442000,1443000,1.0,server_sent
fd00::202:2:2:2,1453,1453000,1454000,1.0,server_sent
fd00::202:2:2:2,1463,1463000,1464000,1.0,server_sent
fd00::202:2:2:2,1474,1474000,1475000,1.0,server_sent
fd00::202:2:2:2,1484,1484000,1485000,1.0,server_sent
fd00::202:2:2:2,1495,1495000,1496000,1.0,server_sent
