node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r,hops,label
fd00::202:2:2:2,1229.497,223.639,774.097,-82.465,61.058,0.219,40.052,13.297,127.387,0.0,2
fd00::203:3:3:3,5640.773,6339.47,5001.485,-75.833,58.273,0.061,23.045,1.848,6.985,3.0,3
fd00::204:4:4:4,4690.219,4474.63,4880.918,-81.863,139.342,0.575,35.658,4.301,5.89,2.068,4
fd00::205:5:5:5,1569.944,493.628,1125.996,-88.665,17.481,0.838,23.233,1.376,39.538,0.0,5
fd00::206:6:6:6,1241.847,557.834,818.586,-89.707,9.977,0.476,20.283,0.085,10.127,0.0,6
fd00::207:7:7:7,1921.677,1629.933,1264.975,-90.681,19.905,0.168,21.442,3.07,36.481,1.0,7
fd00::208:8:8:8,3742.538,3609.154,3265.462,-79.538,99.462,0.154,29.615,0.462,0.615,2.0,8
fd00::209:9:9:9,7379.143,6718.429,7740.286,-43.714,350.429,0.0,57.0,1.429,1.429,3.0,9
fd00::20a:a:a:a,2428.292,2485.923,1685.023,-42.6,70.715,0.2,48.469,50.777,148.723,2.0,10
fd00::20b:b:b:b,1355.1,485.2,3102.5,-69.6,55.3,0.0,25.3,0.3,0.4,1.0,11
fd00::20c:c:c:c,2994.462,2119.269,2339.673,-70.615,276.308,0.385,58.346,10.577,32.712,1.038,12
fd00::20d:d:d:d,3251.534,2751.746,2746.483,-85.271,76.729,0.797,27.551,10.729,18.492,1.0,13
fd00::20e:e:e:e,2494.714,1791.143,2735.469,-67.51,190.735,0.776,85.388,48.0,152.347,1.673,14
fd00::20f:f:f:f,6097.6,6133.4,11121.2,-47.8,468.0,0.6,78.8,1.8,1.8,3.0,15
fd00::210:10:10:10,2478.222,2319.778,7109.222,-44.333,157.111,2.333,132.222,18.0,27.556,2.0,16
fd00::211:11:11:11,5872.389,7202.648,4797.259,-78.556,10.259,0.074,22.759,4.0,12.426,4.019,17
fd00::212:12:12:12,2188.0,2491.636,1208.909,-73.182,1491.364,2.545,567.182,165.545,229.636,2.545,18
fd00::213:13:13:13,4662.316,4690.0,4337.474,-42.211,189.421,1.158,125.632,19.947,41.368,2.105,19
