node,bin,bin_start_ms,bin_end_ms,rate_pkts_per_s,kind
fd00::202:2:2:2,20,20000,21000,0.0,server_sent
fd00::202:2:2:2,31,31000,32000,1.0,server_sent
fd00::202:2:2:2,42,42000,43000,1.0,server_sent
fd00::202:2:2:2,52,52000,53000,1.0,server_sent
fd00::202:2:2:2,63,63000,64000,1.0,server_sent
fd00::202:2:2:2,73,73000,74000,1.0,server_sent
fd00::202:2:2:2,84,84000,85000,1.0,server_sent
fd00::202:2:2:2,94,94000,95000,1.0,server_sent
fd00::202:2:2:2,105,105000,106000,1.0,server_sent
fd00::202:2:2:2,115,115000,116000,1.0,server_sent
fd00::202:2:2:2,126,126000,127000,1.0,server_sent
fd00::202:2:2:2,136,136000,137000,1.0,server_sent
fd00::202:2:2:2,147,147000,148000,1.0,server_sent
fd00::202:2:2:2,157,157000,158000,1.0,server_sent
fd00::202:2:2:2,168,168000,169000,1.0,server_sent
fd00::202:2:2:2,179,179000,180000,1.0,server_sent
fd00::202:2:2:2,189,189000,190000,1.0,server_sent
fd00::202:2:2:2,222,222000,223000,4.0,server_sent
fd00::202:2:2:2,235,235000,236000,1.0,server_sent
fd00::202:2:2:2,248,248000,249000,1.0,server_sent
fd00::202:2:2:2,257,257000,258000,1.0,server_sent
fd00::202:2:2:2,263,263000,264000,1.0,server_sent
fd00::202:2:2:2,279,279000,280000,1.0,server_sent
fd00::202:2:2:2,285,285000,286000,1.0,server_sent
fd00::202:2:2:2,303,303000,304000,2.0,server_sent
fd00::202:2:2:2,473,473000,474000,17.0,server_sent
fd00::202:2:2:2,484,484000,485000,1.0,server_sent
fd00::202:2:2:2,494,494000,495000,1.0,server_sent
fd00::202:2:2:2,507,507000,508000,1.0,server_sent
fd00::202:2:2:2,515,515000,516000,1.0,server_sent
fd00::202:2:2:2,526,526000,527000,1.0,server_sent
fd00::202:2:2:2,537,537000,538000,1.0,server_sent
fd00::202:2:2:2,547,547000,548000,1.0,server_sent
fd00::202:2:2:2,563,563000,564000,2.0,server_sent
fd00::202:2:2:2,568,568000,569000,0.0,server_sent
fd00::202:2:2:2,584,584000,585000,2.0,server_sent
fd00::202:2:2:2,589,589000,590000,0.0,server_sent
fd00::202:2:2:2,600,600000,601000,2.0,server_sent
fd00::202:2:2:2,617,617000,618000,1.0,server_sent
fd00::202:2:2:2,626,626000,627000,1.0,server_sent
fd00::202:2:2:2,631,631000,632000,1.0,server_sent
fd00::202:2:2:2,642,642000,643000,1.0,server_sent
fd00::202:2:2:2,655,655000,656000,1.0,server_sent
fd00::202:2:2:2,664,664000,665000,1.0,server_sent
fd00::202:2:2:2,675,675000,676000,1.0,server_sent
fd00::202:2:2:2,684,684000,685000,1.0,server_sent
fd00::202:2:2:2,694,694000,695000,1.0,server_sent
fd00::202:2:2:2,705,705000,706000,1.0,server_sent
fd00::202:2:2:2,718,718000,719000,1.0,server_sent
fd00::202:2:2:2,726,726000,727000,1.0,server_sent
fd00::202:2:2:2,737,737000,738000,1.0,server_sent
fd00::202:2:2:2,747,747000,748000,1.0,server_sent
fd00::202:2:2:2,758,758000,759000,1.0,server_sent
fd00::202:2:2:2,769,769000,770000,1.0,server_sent
fd00::202:2:2:2,779,779000,780000,1.0,server_sent
fd00::202:2:2:2,802,802000,803000,3.0,server_sent
fd00::202:2:2:2,816,816000,817000,1.0,server_sent
fd00::202:2:2:2,822,822000,823000,1.0,server_sent
fd00::202:2:2:2,835,835000,836000,1.0,server_sent
fd00::202:2:2:2,845,845000,846000,1.0,server_sent
fd00::202:2:2:2,854,854000,855000,1.0,server_sent
fd00::202:2:2:2,866,866000,867000,1.0,server_sent
fd00::202:2:2:2,873,873000,874000,1.0,server_sent
fd00::202:2:2:2,886,886000,887000,1.0,server_sent
fd00::202:2:2:2,895,895000,896000,1.0,server_sent
fd00::202:2:2:2,906,906000,907000,1.0,server_sent
fd00::202:2:2:2,916,916000,917000,1.0,server_sent
fd00::202:2:2:2,926,926000,927000,1.0,server_sent
fd00::202:2:2:2,937,937000,938000,1.0,server_sent
fd00::202:2:2:2,947,947000,948000,1.0,server_sent
fd00::202:2:2:2,958,958000,959000,1.0,server_sent
fd00::202:2:2:2,968,968000,969000,1.0,server_sent
fd00::202:2:2:2,986,986000,987000,2.0,server_sent
fd00::202:2:2:2,989,989000,990000,0.0,server_sent
fd00::202:2:2:2,1007,1007000,1008000,2.0,server_sent
fd00::202:2:2:2,1122,1122000,1123000,12.0,server_sent
fd00::202:2:2:2,1348,1348000,1349000,22.0,server_sent
fd00::202:2:2:2,1358,1358000,1359000,1.0,server_sent
fd00::202:2:2:2,1369,1369000,1370000,1.0,server_sent
fd00::202:2:2:2,1422,1422000,1423000,6.0,server_sent
fd00::202:2:2:2,1465,1465000,1466000,4.0,server_sent
fd00::202:2:2:2,1481,1481000,1482000,2.0,server_sent
fd00::202:2:2:2,1487,1487000,1488000,0.0,server_sent
fd00::202:2:2:2,1495,1495000,1496000,1.0,server_sent
fd00::202:2:2:2,1506,1506000,1507000,1.0,server_sent
fd00::202:2:2:2,1522,1522000,1523000,2.0,server_sent
fd00::202:2:2:2,1526,1526000,1527000,0.0,server_sent
fd00::202:2:2:2,1537,1537000,1538000,1.0,server_sent
fd00::202:2:2:2,1549,1549000,1550000,1.0,server_sent
fd00::202:2:2:2,1558,1558000,1559000,1.0,server_sent
fd00::202:2:2:2,1570,1570000,1571000,2.0,server_sent
fd00::202:2:2:2,1580,1580000,1581000,1.0,server_sent
fd00::202:2:2:2,1598,1598000,1599000,1.0,server_sent
fd00::202:2:2:2,1606,1606000,1607000,1.0,server_sent
fd00::202:2:2:2,1616,1616000,1617000,1.0,server_sent
fd00::202:2:2:2,1625,1625000,1626000,1.0,server_sent
fd00::202:2:2:2,1638,1638000,1639000,1.0,server_sent
fd00::202:2:2:2,1649,1649000,1650000,1.0,server_sent
fd00::202:2:2:2,1657,1657000,1658000,1.0,server_sent
fd00::202:2:2:2,1665,1665000,1666000,1.0,server_sent
fd00::202:2:2:2,1675,1675000,1676000,1.0,server_sent
fd00::202:2:2:2,1685,1685000,1686000,1.0,server_sent
fd00::202:2:2:2,1695,1695000,1696000,1.0,server_sent
fd00::202:2:2:2,1706,1706000,1707000,1.0,server_sent
fd00::202:2:2:2,1717,1717000,1718000,1.0,server_sent
fd00::202:2:2:2,1732,1732000,1733000,2.0,server_sent
fd00::202:2:2:2,1737,1737000,1738000,0.0,server_sent
fd00::202:2:2:2,1906,1906000,1907000,17.0,server_sent
fd00::202:2:2:2,1916,1916000,1917000,1.0,server_sent
fd00::202:2:2:2,1927,1927000,1928000,1.0,server_sent
fd00::202:2:2:2,2306,2306000,2307000,38.0,server_sent
fd00::202:2:2:2,2316,2316000,2317000,1.0,server_sent
fd00::202:2:2:2,2327,2327000,2328000,1.0,server_sent
fd00::202:2:2:2,2343,2343000,2344000,2.0,server_sent
fd00::202:2:2:2,2348,2348000,2349000,0.0,server_sent
fd00::202:2:2:2,2358,2358000,2359000,1.0,server_sent
fd00::202:2:2:2,2369,2369000,2370000,1.0,server_sent
fd00::202:2:2:2,2379,2379000,2380000,1.0,server_sent
fd00::202:2:2:2,2391,2391000,2392000,2.0,server_sent
fd00::202:2:2:2,2408,2408000,2409000,1.0,server_sent
fd00::202:2:2:2,2415,2415000,2416000,1.0,server_sent
fd00::202:2:2:2,2425,2425000,2426000,1.0,server_sent
fd00::202:2:2:2,2432,2432000,2433000,1.0,server_sent
fd00::202:2:2:2,2443,2443000,2444000,1.0,server_sent
fd00::202:2:2:2,2453,2453000,2454000,1.0,server_sent
fd00::202:2:2:2,2467,2467000,2468000,1.0,server_sent
fd00::202:2:2:2,2475,2475000,2476000,1.0,server_sent
fd00::202:2:2:2,2492,2492000,2493000,2.0,server_sent
fd00::202:2:2:2,2495,2495000,2496000,0.0,server_sent
fd00::202:2:2:2,2508,2508000,2509000,1.0,server_sent
fd00::202:2:2:2,2521,2521000,2522000,2.0,server_sent
fd00::202:2:2:2,2528,2528000,2529000,0.0,server_sent
fd00::202:2:2:2,2539,2539000,2540000,1.0,server_sent
fd00::202:2:2:2,2548,2548000,2549000,1.0,server_sent
fd00::202:2:2:2,2559,2559000,2560000,1.0,server_sent
fd00::202:2:2:2,2572,2572000,2573000,2.0,server_sent
fd00::202:2:2:2,2580,2580000,2581000,1.0,server_sent
fd00::202:2:2:2,2591,2591000,2592000,1.0,server_sent
fd00::202:2:2:2,2601,2601000,2602000,1.0,server_sent
fd00::202:2:2:2,2614,2614000,2615000,1.0,server_sent
