node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r,hops,label
fd00::202:2:2:2,0.0,0.0,1.8446744073709552e+19,0.0,204.602,0.061,18.055,178.503,178.503,0.0,2
fd00::203:3:3:3,0.0,0.0,572.791,0.0,216.218,0.037,19.123,177.85,177.85,1.0,3
fd00::204:4:4:4,0.0,0.0,1.1317020904116294e+17,0.0,215.966,0.003,19.181,177.187,177.187,2.0,4
fd00::205:5:5:5,0.0,0.0,440.558,0.0,204.919,0.0,18.27,176.34,176.34,3.0,5
fd00::206:6:6:6,0.0,0.0,1.8285871305624875e+19,0.0,205.134,0.0,18.11,177.57,177.57,1.0,6
fd00::207:7:7:7,0.0,0.0,48.213,0.0,211.045,0.0,19.057,178.138,178.138,0.0,7
fd00::208:8:8:8,42.241,340.765,1.8446744073709552e+19,-89.742,201.461,0.582,18.052,0.009,0.009,0.0,8
fd00::209:9:9:9,117.162,1.806583785389844e+19,380.292,-90.024,207.531,0.313,18.168,0.159,1.15,1.0,9
fd00::20a:a:a:a,165.583,5.565827953274434e+18,257.195,-90.626,202.305,0.02,18.21,0.664,6.848,2.0,10
fd00::20b:b:b:b,189.173,468.928,1.8391679166026836e+19,-42.872,210.293,0.096,19.227,5.137,13.651,2.0,11
fd00::20c:c:c:c,41.868,1.8395072521682354e+19,246.49,-86.756,195.56,0.933,18.042,0.0,0.983,0.0,12
fd00::20d:d:d:d,104.701,1.8392167907811002e+19,558.086,-67.799,208.065,0.334,19.112,2.251,9.991,1.0,13
fd00::20e:e:e:e,165.564,129.513,135.641,-58.385,1665.923,1.256,152.077,103.077,172.692,1.513,14
fd00::20f:f:f:f,222.863,242.049,189.598,-61.02,210.775,0.052,18.373,23.471,39.108,3.0,15
fd00::210:10:10:10,64.348,187.826,161.913,-44.174,1028.043,1.13,93.522,146.565,171.565,1.783,16
fd00::211:11:11:11,0.0,0.0,535.777,0.0,483.714,0.179,43.973,102.429,109.866,3.018,17
fd00::212:12:12:12,148.821,196.75,3.2940614417338486e+18,-54.5,1220.964,1.179,111.607,112.607,169.464,2.429,18
fd00::213:13:13:13,0.0,0.0,473.543,0.0,1936.771,0.971,176.771,158.143,164.543,4.0,19
