node,bin,bin_start_ms,bin_end_ms,rate_pkts_per_s,kind
fd00::202:2:2:2,20,20000,21000,0.0,server_sent
fd00::202:2:2:2,31,31000,32000,1.0,server_sent
fd00::202:2:2:2,41,41000,42000,1.0,server_sent
fd00::202:2:2:2,52,52000,53000,1.0,server_sent
fd00::202:2:2:2,62,62000,63000,1.0,server_sent
fd00::202:2:2:2,72,72000,73000,1.0,server_sent
fd00::202:2:2:2,83,83000,84000,1.0,server_sent
fd00::202:2:2:2,93,93000,94000,1.0,server_sent
fd00::202:2:2:2,104,104000,105000,1.0,server_sent
fd00::202:2:2:2,114,114000,115000,1.0,server_sent
fd00::202:2:2:2,125,125000,126000,1.0,server_sent
fd00::202:2:2:2,135,135000,136000,1.0,server_sent
fd00::202:2:2:2,145,145000,146000,1.0,server_sent
fd00::202:2:2:2,156,156000,157000,1.0,server_sent
fd00::202:2:2:2,166,166000,167000,1.0,server_sent
fd00::202:2:2:2,177,177000,178000,1.0,server_sent
fd00::202:2:2:2,187,187000,188000,1.0,server_sent
fd00::202:2:2:2,198,198000,199000,1.0,server_sent
fd00::202:2:2:2,208,208000,209000,1.0,server_sent
fd00::202:2:2:2,218,218000,219000,1.0,server_sent
fd00::202:2:2:2,229,229000,230000,1.0,server_sent
fd00::202:2:2:2,239,239000,240000,1.0,server_sent
fd00::202:2:2:2,250,250000,251000,2.0,server_sent
fd00::202:2:2:2,260,260000,261000,1.0,server_sent
fd00::202:2:2:2,271,271000,272000,1.0,server_sent
fd00::202:2:2:2,281,281000,282000,1.0,server_sent
fd00::202:2:2:2,292,292000,293000,1.0,server_sent
fd00::202:2:2:2,302,302000,303000,1.0,server_sent
fd00::202:2:2:2,312,312000,313000,1.0,server_sent
fd00::202:2:2:2,323,323000,324000,1.0,server_sent
fd00::202:2:2:2,333,333000,334000,1.0,server_sent
fd00::202:2:2:2,344,344000,345000,1.0,server_sent
fd00::202:2:2:2,354,354000,355000,1.0,server_sent
fd00::202:2:2:2,365,365000,366000,1.0,server_sent
fd00::202:2:2:2,375,375000,376000,1.0,server_sent
fd00::202:2:2:2,385,385000,386000,1.0,server_sent
fd00::202:2:2:2,396,396000,397000,1.0,server_sent
fd00::202:2:2:2,406,406000,407000,1.0,server_sent
fd00::202:2:2:2,417,417000,418000,1.0,server_sent
fd00::202:2:2:2,427,427000,428000,1.0,server_sent
fd00::202:2:2:2,438,438000,439000,1.0,server_sent
fd00::202:2:2:2,448,448000,449000,1.0,server_sent
fd00::202:2:2:2,458,458000,459000,1.0,server_sent
fd00::202:2:2:2,469,469000,470000,1.0,server_sent
fd00::202:2:2:2,479,479000,480000,1.0,server_sent
fd00::202:2:2:2,490,490000,491000,2.0,server_sent
fd00::202:2:2:2,500,500000,501000,1.0,server_sent
fd00::202:2:2:2,511,511000,512000,1.0,server_sent
fd00::202:2:2:2,521,521000,522000,1.0,server_sent
fd00::202:2:2:2,531,531000,532000,1.0,server_sent
fd00::202:2:2:2,542,542000,543000,1.0,server_sent
fd00::202:2:2:2,552,552000,553000,1.0,server_sent
fd00::202:2:2:2,563,563000,564000,1.0,server_sent
fd00::202:2:2:2,573,573000,574000,1.0,server_sent
fd00::202:2:2:2,584,584000,585000,1.0,server_sent
fd00::202:2:2:2,594,594000,595000,1.0,server_sent
fd00::202:2:2:2,605,605000,606000,1.0,server_sent
fd00::202:2:2:2,615,615000,616000,1.0,server_sent
fd00::202:2:2:2,625,625000,626000,1.0,server_sent
fd00::202:2:2:2,636,636000,637000,1.0,server_sent
fd00::202:2:2:2,646,646000,647000,1.0,server_sent
fd00::202:2:2:2,657,657000,658000,1.0,server_sent
fd00::202:2:2:2,667,667000,668000,1.0,server_sent
fd00::202:2:2:2,678,678000,679000,1.0,server_sent
fd00::202:2:2:2,688,688000,689000,1.0,server_sent
fd00::202:2:2:2,698,698000,699000,1.0,server_sent
fd00::202:2:2:2,709,709000,710000,1.0,server_sent
fd00::202:2:2:2,719,719000,720000,1.0,server_sent
fd00::202:2:2:2,730,730000,731000,2.0,server_sent
fd00::202:2:2:2,740,740000,741000,1.0,server_sent
fd00::202:2:2:2,751,751000,752000,1.0,server_sent
fd00::202:2:2:2,761,761000,762000,1.0,server_sent
fd00::202:2:2:2,771,771000,772000,1.0,server_sent
fd00::202:2:2:2,782,782000,783000,1.0,server_sent
fd00::202:2:2:2,792,792000,793000,1.0,server_sent
fd00::202:2:2:2,803,803000,804000,1.0,server_sent
fd00::202:2:2:2,813,813000,814000,1.0,server_sent
fd00::202:2:2:2,824,824000,825000,1.0,server_sent
fd00::202:2:2:2,834,834000,835000,1.0,server_sent
fd00::202:2:2:2,844,844000,845000,1.0,server_sent
fd00::202:2:2:2,855,855000,856000,1.0,server_sent
fd00::202:2:2:2,865,865000,866000,1.0,server_sent
fd00::202:2:2:2,876,876000,877000,1.0,server_sent
fd00::202:2:2:2,886,886000,887000,1.0,server_sent
fd00::202:2:2:2,897,897000,898000,1.0,server_sent
fd00::202:2:2:2,907,907000,908000,1.0,server_sent
fd00::202:2:2:2,917,917000,918000,1.0,server_sent
fd00::202:2:2:2,928,928000,929000,1.0,server_sent
fd00::202:2:2:2,938,938000,939000,1.0,server_sent
fd00::202:2:2:2,949,949000,950000,1.0,server_sent
fd00::202:2:2:2,959,959000,960000,1.0,server_sent
fd00::202:2:2:2,970,970000,971000,2.0,server_sent
fd00::202:2:2:2,980,980000,981000,1.0,server_sent
fd00::202:2:2:2,990,990000,991000,1.0,server_sent
fd00::202:2:2:2,1001,1001000,1002000,1.0,server_sent
fd00::202:2:2:2,1011,1011000,1012000,1.0,server_sent
fd00::202:2:2:2,1022,1022000,1023000,1.0,server_sent
fd00::202:2:2:2,1032,1032000,1033000,1.0,server_sent
fd00::202:2:2:2,1043,1043000,1044000,1.0,server_sent
fd00::202:2:2:2,1053,1053000,1054000,1.0,server_sent
fd00::202:2:2:2,1064,1064000,1065000,1.0,server_sent
fd00::202:2:2:2,1074,1074000,1075000,1.0,server_sent
fd00::202:2:2:2,1084,1084000,1085000,1.0,server_sent
fd00::202:2:2:2,1095,1095000,1096000,1.0,server_sent
fd00::202:2:2:2,1105,1105000,1106000,1.0,server_sent
fd00::202:2:2:2,1116,1116000,1117000,1.0,server_sent
fd00::202:2:2:2,1126,1126000,1127000,1.0,server_sent
fd00::202:2:2:2,1137,1137000,1138000,1.0,server_sent
fd00::202:2:2:2,1147,1147000,1148000,1.0,server_sent
fd00::202:2:2:2,1157,1157000,1158000,1.0,server_sent
fd00::202:2:2:2,1168,1168000,1169000,1.0,server_sent
fd00::202:2:2:2,1178,1178000,1179000,1.0,server_sent
fd00::202:2:2:2,1189,1189000,1190000,1.0,server_sent
fd00::202:2:2:2,1199,1199000,1200000,1.0,server_sent
fd00::202:2:2:2,1210,1210000,1211000,2.0,server_sent
fd00::202:2:2:2,1220,1220000,1221000,1.0,server_sent
fd00::202:2:2:2,1230,1230000,1231000,1.0,server_sent
fd00::202:2:2:2,1241,1241000,1242000,1.0,server_sent
fd00::202:2:2:2,1251,1251000,1252000,1.0,server_sent
fd00::202:2:2:2,1262,1262000,1263000,1.0,server_sent
fd00::202:2:2:2,1272,1272000,1273000,1.0,server_sent
fd00::202:2:2:2,1283,1283000,1284000,1.0,server_sent
fd00::202:2:2:2,1293,1293000,1294000,1.0,server_sent
fd00::202:2:2:2,1304,1304000,1305000,1.0,server_sent
fd00::202:2:2:2,1314,1314000,1315000,1.0,server_sent
fd00::202:2:2:2,1324,1324000,1325000,1.0,server_sent
fd00::202:2:2:2,1335,1335000,1336000,1.0,server_sent
fd00::202:2:2:2,1345,1345000,1346000,1.0,server_sent
fd00::202:2:2:2,1356,1356000,1357000,1.0,server_sent
fd00::202:2:2:2,1366,1366000,1367000,1.0,server_sent
fd00::202:2:2:2,1377,1377000,1378000,1.0,server_sent
fd00::202:2:2:2,1387,1387000,1388000,1.0,server_sent
fd00::202:2:2:2,1397,1397000,1398000,1.0,server_sent
fd00::202:2:2:2,1408,1408000,1409000,1.0,server_sent
fd00::202:2:2:2,1418,1418000,1419000,1.0,server_sent
fd00::202:2:2:2,1429,1429000,1430000,1.0,server_sent
fd00::202:2:2:2,1439,1439000,1440000,1.0,server_sent
fd00::202:2:2:2,1450,1450000,1451000,2.0,server_sent
fd00::202:2:2:2,1460,1460000,1461000,1.0,server_sent
fd00::202:2:2:2,1470,1470000,1471000,1.0,server_sent
fd00::202:2:2:2,1481,1481000,1482000,1.0,server_sent
