node,bin,bin_start_ms,bin_end_ms,rate_pkts_per_s,kind
fd00::202:2:2:2,20,20000,21000,0.0,server_sent
fd00::202:2:2:2,31,31000,32000,1.0,server_sent
fd00::202:2:2:2,43,43000,44000,1.0,server_sent
fd00::202:2:2:2,53,53000,54000,1.0,server_sent
fd00::202:2:2:2,63,63000,64000,1.0,server_sent
fd00::202:2:2:2,74,74000,75000,1.0,server_sent
fd00::202:2:2:2,84,84000,85000,1.0,server_sent
fd00::202:2:2:2,95,95000,96000,1.0,server_sent
fd00::202:2:2:2,105,105000,106000,1.0,server_sent
fd00::202:2:2:2,115,115000,116000,1.0,server_sent
fd00::202:2:2:2,126,126000,127000,1.0,server_sent
fd00::202:2:2:2,136,136000,137000,1.0,server_sent
fd00::202:2:2:2,147,147000,148000,1.0,server_sent
fd00::202:2:2:2,158,158000,159000,1.0,server_sent
fd00::202:2:2:2,168,168000,169000,1.0,server_sent
fd00::202:2:2:2,178,178000,179000,1.0,server_sent
fd00::202:2:2:2,189,189000,190000,1.0,server_sent
fd00::202:2:2:2,200,200000,201000,2.0,server_sent
fd00::202:2:2:2,213,213000,214000,1.0,server_sent
fd00::202:2:2:2,226,226000,227000,1.0,server_sent
fd00::202:2:2:2,232,232000,233000,1.0,server_sent
fd00::202:2:2:2,243,243000,244000,1.0,server_sent
fd00::202:2:2:2,256,256000,257000,1.0,server_sent
fd00::202:2:2:2,276,276000,277000,2.0,server_sent
fd00::202:2:2:2,277,277000,278000,0.0,server_sent
fd00::202:2:2:2,284,284000,285000,1.0,server_sent
fd00::202:2:2:2,294,294000,295000,1.0,server_sent
fd00::202:2:2:2,305,305000,306000,1.0,server_sent
fd00::202:2:2:2,316,316000,317000,1.0,server_sent
fd00::202:2:2:2,326,326000,327000,1.0,server_sent
fd00::202:2:2:2,336,336000,337000,1.0,server_sent
fd00::202:2:2:2,349,349000,350000,1.0,server_sent
fd00::202:2:2:2,357,357000,358000,1.0,server_sent
fd00::202:2:2:2,368,368000,369000,1.0,server_sent
fd00::202:2:2:2,384,384000,385000,2.0,server_sent
fd00::202:2:2:2,392,392000,393000,1.0,server_sent
fd00::202:2:2:2,402,402000,403000,1.0,server_sent
fd00::202:2:2:2,415,415000,416000,1.0,server_sent
fd00::202:2:2:2,422,422000,423000,1.0,server_sent
fd00::202:2:2:2,435,435000,436000,1.0,server_sent
fd00::202:2:2:2,448,448000,449000,1.0,server_sent
fd00::202:2:2:2,453,453000,454000,1.0,server_sent
fd00::202:2:2:2,463,463000,464000,1.0,server_sent
fd00::202:2:2:2,497,497000,498000,3.0,server_sent
fd00::202:2:2:2,726,726000,727000,23.0,server_sent
fd00::202:2:2:2,737,737000,738000,1.0,server_sent
fd00::202:2:2:2,749,749000,750000,1.0,server_sent
fd00::202:2:2:2,758,758000,759000,1.0,server_sent
fd00::202:2:2:2,768,768000,769000,1.0,server_sent
fd00::202:2:2:2,779,779000,780000,1.0,server_sent
fd00::202:2:2:2,791,791000,792000,2.0,server_sent
fd00::202:2:2:2,809,809000,810000,1.0,server_sent
fd00::202:2:2:2,2095,2095000,2096000,129.0,server_sent
fd00::202:2:2:2,2106,2106000,2107000,1.0,server_sent
fd00::202:2:2:2,2116,2116000,2117000,1.0,server_sent
fd00::202:2:2:2,2127,2127000,2128000,1.0,server_sent
fd00::202:2:2:2,2137,2137000,2138000,1.0,server_sent
fd00::202:2:2:2,2148,2148000,2149000,1.0,server_sent
fd00::202:2:2:2,2158,2158000,2159000,1.0,server_sent
fd00::202:2:2:2,2169,2169000,2170000,1.0,server_sent
fd00::202:2:2:2,2179,2179000,2180000,1.0,server_sent
fd00::202:2:2:2,2193,2193000,2194000,2.0,server_sent
fd00::202:2:2:2,2202,2202000,2203000,1.0,server_sent
fd00::202:2:2:2,2211,2211000,2212000,1.0,server_sent
fd00::202:2:2:2,2224,2224000,2225000,1.0,server_sent
fd00::202:2:2:2,2232,2232000,2233000,1.0,server_sent
fd00::202:2:2:2,2244,2244000,2245000,1.0,server_sent
fd00::202:2:2:2,2257,2257000,2258000,1.0,server_sent
fd00::202:2:2:2,2264,2264000,2265000,1.0,server_sent
fd00::202:2:2:2,2274,2274000,2275000,1.0,server_sent
fd00::202:2:2:2,2285,2285000,2286000,1.0,server_sent
fd00::202:2:2:2,2295,2295000,2296000,1.0,server_sent
fd00::202:2:2:2,2306,2306000,2307000,1.0,server_sent
fd00::202:2:2:2,2316,2316000,2317000,1.0,server_sent
fd00::202:2:2:2,2327,2327000,2328000,1.0,server_sent
fd00::202:2:2:2,2337,2337000,2338000,1.0,server_sent
fd00::202:2:2:2,2348,2348000,2349000,1.0,server_sent
fd00::202:2:2:2,2358,2358000,2359000,1.0,server_sent
fd00::202:2:2:2,2369,2369000,2370000,1.0,server_sent
fd00::202:2:2:2,2379,2379000,2380000,1.0,server_sent
fd00::202:2:2:2,2393,2393000,2394000,2.0,server_sent
fd00::202:2:2:2,2401,2401000,2402000,1.0,server_sent
fd00::202:2:2:2,2413,2413000,2414000,1.0,server_sent
fd00::202:2:2:2,2423,2423000,2424000,1.0,server_sent
fd00::202:2:2:2,2433,2433000,2434000,1.0,server_sent
fd00::202:2:2:2,2443,2443000,2444000,1.0,server_sent
fd00::202:2:2:2,2454,2454000,2455000,1.0,server_sent
fd00::202:2:2:2,2464,2464000,2465000,1.0,server_sent
fd00::202:2:2:2,2474,2474000,2475000,1.0,server_sent
fd00::202:2:2:2,2485,2485000,2486000,1.0,server_sent
fd00::202:2:2:2,2495,2495000,2496000,1.0,server_sent
fd00::202:2:2:2,2506,2506000,2507000,1.0,server_sent
fd00::202:2:2:2,2516,2516000,2517000,1.0,server_sent
fd00::202:2:2:2,2527,2527000,2528000,1.0,server_sent
fd00::202:2:2:2,2537,2537000,2538000,1.0,server_sent
fd00::202:2:2:2,2548,2548000,2549000,1.0,server_sent
fd00::202:2:2:2,2558,2558000,2559000,1.0,server_sent
fd00::202:2:2:2,2843,2843000,2844000,29.0,server_sent
fd00::202:2:2:2,2853,2853000,2854000,1.0,server_sent
fd00::202:2:2:2,2864,2864000,2865000,1.0,server_sent
fd00::202:2:2:2,2875,2875000,2876000,1.0,server_sent
fd00::202:2:2:2,2885,2885000,2886000,1.0,server_sent
fd00::202:2:2:2,2895,2895000,2896000,1.0,server_sent
fd00::202:2:2:2,2906,2906000,2907000,1.0,server_sent
fd00::202:2:2:2,2916,2916000,2917000,1.0,server_sent
fd00::202:2:2:2,2927,2927000,2928000,1.0,server_sent
fd00::202:2:2:2,2938,2938000,2939000,1.0,server_sent
fd00::202:2:2:2,2948,2948000,2949000,1.0,server_sent
fd00::202:2:2:2,2959,2959000,2960000,1.0,server_sent
fd00::202:2:2:2,2969,2969000,2970000,1.0,server_sent
fd00::202:2:2:2,2981,2981000,2982000,2.0,server_sent
fd00::202:2:2:2,2992,2992000,2993000,1.0,server_sent
fd00::202:2:2:2,3001,3001000,3002000,1.0,server_sent
fd00::202:2:2:2,3011,3011000,3012000,1.0,server_sent
fd00::202:2:2:2,3022,3022000,3023000,1.0,server_sent
fd00::202:2:2:2,3032,3032000,3033000,1.0,server_sent
fd00::202:2:2:2,3043,3043000,3044000,1.0,server_sent
fd00::202:2:2:2,3053,3053000,3054000,1.0,server_sent
fd00::202:2:2:2,3064,3064000,3065000,1.0,server_sent
fd00::202:2:2:2,3074,3074000,3075000,1.0,server_sent
fd00::202:2:2:2,3085,3085000,3086000,1.0,server_sent
fd00::202:2:2:2,3095,3095000,3096000,1.0,server_sent
fd00::202:2:2:2,3106,3106000,3107000,1.0,server_sent
fd00::202:2:2:2,3117,3117000,3118000,1.0,server_sent
fd00::202:2:2:2,3127,3127000,3128000,1.0,server_sent
fd00::202:2:2:2,3138,3138000,3139000,1.0,server_sent
fd00::202:2:2:2,3148,3148000,3149000,1.0,server_sent
fd00::202:2:2:2,3159,3159000,3160000,1.0,server_sent
fd00::202:2:2:2,3169,3169000,3170000,1.0,server_sent
fd00::202:2:2:2,3181,3181000,3182000,2.0,server_sent
fd00::202:2:2:2,3191,3191000,3192000,1.0,server_sent
fd00::202:2:2:2,3203,3203000,3204000,1.0,server_sent
fd00::202:2:2:2,3213,3213000,3214000,1.0,server_sent
fd00::202:2:2:2,3222,3222000,3223000,1.0,server_sent
fd00::202:2:2:2,3233,3233000,3234000,1.0,server_sent
fd00::202:2:2:2,3243,3243000,3244000,1.0,server_sent
fd00::202:2:2:2,3253,3253000,3254000,1.0,server_sent
fd00::202:2:2:2,3264,3264000,3265000,1.0,server_sent
