node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r,hops,label
fd00::202:2:2:2,278.053,514.87,1.6596628148912724e+19,-90.732,208.622,0.0,18.333,4.687,4.687,3.0,2
fd00::203:3:3:3,0.0,0.0,605.852,0.0,216.309,0.0,19.123,178.543,180.179,2.0,3
fd00::204:4:4:4,0.0,0.0,79.883,0.0,216.654,0.0,19.244,176.228,176.262,3.0,4
fd00::205:5:5:5,215.594,1.427617584834913e+19,426.316,-55.838,204.278,0.009,18.214,8.214,8.91,2.0,5
fd00::206:6:6:6,0.0,0.0,1.7745552047515914e+19,0.0,204.266,0.044,18.111,178.058,179.532,1.0,6
fd00::207:7:7:7,128.973,104.429,80.263,-80.755,210.834,0.532,19.115,9.118,19.344,1.0,7
fd00::208:8:8:8,0.0,0.0,1.8124060503907052e+19,0.0,205.539,0.0,18.324,175.921,176.411,4.0,8
fd00::209:9:9:9,0.0,0.0,354.551,0.0,206.575,0.041,18.056,178.428,178.428,0.0,9
fd00::20a:a:a:a,41.447,1.8341634420867903e+19,205.142,-84.746,199.701,1.066,18.051,0.003,0.003,0.0,10
fd00::20b:b:b:b,326.732,651.497,1.7391056912864727e+19,-79.759,211.133,0.006,19.286,12.518,13.12,3.054,11
fd00::20c:c:c:c,127.972,1.6638239752757635e+19,308.955,-83.252,197.028,0.056,18.092,0.0,26.961,1.0,12
fd00::20d:d:d:d,352.868,7.014181129823692e+18,626.018,-64.94,211.042,0.006,19.284,12.826,13.024,3.171,13
fd00::20e:e:e:e,233.078,214.78,163.783,-82.75,212.461,0.0,19.175,27.672,27.672,2.0,14
fd00::20f:f:f:f,44.08,1.801013474652116e+19,111.207,-92.725,205.0,1.737,18.056,0.003,0.893,0.0,15
fd00::210:10:10:10,246.503,233.029,182.485,-66.804,205.184,0.371,18.219,28.047,31.398,2.0,16
fd00::211:11:11:11,150.426,1.8335283384442425e+19,490.912,-60.816,210.387,0.918,19.115,31.728,41.082,1.0,17
