node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r,hops,label
fd00::202:2:2:2,771.728,1176.764,1.1539792307578624e+19,-67.028,239.626,0.572,21.243,712.836,769.831,3.468,2
fd00::203:3:3:3,730.312,6.800957432847295e+18,707.289,-63.596,256.824,0.167,22.843,543.12,582.417,4.111,3
fd00::204:4:4:4,761.897,1280.757,137.016,-86.205,226.78,0.703,20.244,580.554,664.169,3.296,4
fd00::205:5:5:5,702.424,5.1642620587093384e+16,501.646,-65.126,230.52,0.833,20.699,705.293,771.196,3.49,5
fd00::206:6:6:6,591.45,924.653,1.1078557409509896e+19,-60.604,223.644,0.5,19.885,698.46,804.999,3.315,6
fd00::207:7:7:7,775.64,1132.209,194.339,-67.815,236.667,0.253,21.434,498.099,563.06,3.332,7
fd00::208:8:8:8,744.746,1572.506,1.670857047635021e+19,-67.353,219.575,0.103,19.621,312.69,372.371,3.698,8
fd00::209:9:9:9,640.208,4.690588021102547e+18,492.79,-67.214,245.216,0.444,21.609,411.743,459.617,3.429,9
fd00::20a:a:a:a,559.44,582.359,322.24,-88.708,217.021,0.772,19.603,680.852,760.946,2.451,10
fd00::20b:b:b:b,607.052,1139.283,1.5833627472002656e+19,-58.335,232.885,1.116,21.394,315.662,396.772,2.662,11
fd00::20c:c:c:c,434.618,7.094901566811369e+17,338.536,-78.735,230.224,0.364,21.164,786.336,887.995,2.693,12
fd00::20d:d:d:d,499.797,1.01389844039458e+19,643.415,-52.52,227.665,0.665,20.9,427.494,507.777,2.367,13
fd00::20e:e:e:e,571.179,575.398,218.898,-64.263,227.422,0.193,20.573,742.175,833.704,2.871,14
fd00::20f:f:f:f,309.561,9965826079800186.0,185.059,-79.533,223.942,2.473,19.865,270.203,378.524,1.321,15
fd00::210:10:10:10,318.782,3.6682668215148134e+18,223.201,-83.051,233.063,0.922,21.053,256.52,311.163,2.489,16
fd00::211:11:11:11,217.259,1.5600272659936485e+19,524.506,-69.549,219.645,0.35,19.904,752.601,821.501,1.248,17
fd00::212:12:12:12,114.149,136.688,1.2454553346945982e+19,-31.055,218.885,0.398,20.049,790.959,862.317,0.823,18
fd00::213:13:13:13,596.125,6.255257873049131e+18,499.429,-58.851,220.855,0.133,20.01,316.519,377.998,3.325,19
fd00::214:14:14:14,275.523,1.5502284924523359e+18,182.704,-87.572,220.698,0.736,19.428,228.908,347.101,1.188,20
fd00::215:15:15:15,109.863,7.438363648051075e+18,586.498,-26.642,225.565,0.399,20.589,934.796,980.494,0.405,21
fd00::216:16:16:16,350.685,6.152227684065847e+18,378.058,-62.879,225.817,0.607,20.761,333.159,404.106,1.288,22
fd00::217:17:17:17,61.515,1.843741339891253e+19,614.269,-84.171,207.621,4.048,18.849,0.553,35.214,0.104,23
fd00::218:18:18:18,78.964,410.331,1.785467204727153e+19,-73.638,208.364,1.27,19.203,1.184,42.328,0.326,24
fd00::219:19:19:19,234.824,2.4569451350172573e+17,183.281,-55.075,222.89,0.276,19.872,850.843,891.476,1.578,25
fd00::21a:1a:1a:1a,706.021,2.9480610100427546e+18,463.588,-67.918,227.291,0.184,20.06,813.356,851.237,3.19,26
fd00::21b:1b:1b:1b,284.481,356.079,103.99,-73.256,216.239,0.387,19.368,514.295,601.199,1.328,27
fd00::21c:1c:1c:1c,59.667,175.013,1.7953857294896927e+19,-32.015,206.418,1.015,18.974,907.96,957.295,0.258,28
fd00::21d:1d:1d:1d,117.344,8.209037004668701e+18,319.246,-38.672,212.655,0.953,19.232,903.02,954.551,0.508,29
fd00::21e:1e:1e:1e,562.087,673.947,1.5736885836385765e+19,-78.613,224.148,0.427,20.355,849.727,905.875,1.462,30
fd00::21f:1f:1f:1f,635.911,844.859,1.5843578750634877e+19,-74.947,232.46,0.342,20.746,874.281,911.013,2.796,31
fd00::220:20:20:20,988.136,5.6167970737256736e+17,723.866,-81.569,223.848,0.081,19.732,913.039,954.962,2.312,32
fd00::221:21:21:21,112.399,90.94,5.77644449946757e+18,-40.897,214.444,0.511,19.323,938.4,979.182,0.484,33
fd00::222:22:22:22,311.741,572.837,1.7886207651580256e+19,-40.722,231.35,0.406,20.629,880.738,928.786,1.71,34
fd00::223:23:23:23,267.053,457.849,1.6893127035518663e+19,-43.168,223.099,0.173,19.961,920.954,968.67,1.434,35
fd00::224:24:24:24,926.881,5.0498333213053606e+17,625.441,-84.625,225.18,0.045,19.764,912.602,960.257,2.364,36
fd00::225:25:25:25,474.211,689.58,231.435,-33.005,244.335,0.151,21.881,887.033,918.857,2.833,37
