node,rtt_latency,r2n_latency,n2r_latency,rssi,radio_rx_energy_mj,radio_tx_energy_mj,cpu_energy_mj,lost_packets_r2n,lost_packets_n2r,hops,label
fd00::209:9:9:9,15279.0,22457.5,13274.0,-34.5,46723.5,125.0,6807.0,439.75,504.5,2.25,2
fd00::20a:a:a:a,0.0,0.0,4360.0,0.0,149626.5,199.5,17707.0,1.0,1.0,2.0,3
fd00::20c:c:c:c,7513.154,12464.5,5109.769,-74.038,6584.154,1.385,1130.462,535.5,635.808,1.115,4
fd00::20d:d:d:d,7244.455,14085.545,5675.091,-44.364,28080.091,1.727,3307.727,1174.545,1193.818,2.091,5
fd00::20e:e:e:e,9353.375,3776.438,9711.438,-54.062,16408.188,3.562,2259.0,418.312,476.5,1.625,6
fd00::20f:f:f:f,4288.909,6018.727,6181.0,-70.364,3268.273,1.545,421.182,356.818,405.182,1.273,7
fd00::210:10:10:10,6243.333,18072.619,6227.286,-71.238,3910.762,23.238,846.81,395.714,550.0,1.048,8
fd00::211:11:11:11,7594.056,12568.63,6774.889,-77.333,1891.463,8.185,571.204,919.778,1254.722,1.111,9
fd00::212:12:12:12,5862.662,9001.717,2190.541,-70.494,197.076,2.048,95.392,220.433,1029.162,0.232,10
fd00::213:13:13:13,0.0,0.0,13212.25,0.0,33187.0,1.0,4326.75,3.0,3.0,2.0,11
fd00::214:14:14:14,5524.786,8410.429,9978.5,-83.0,10320.643,2.643,1753.286,1025.429,1128.857,1.429,12
fd00::215:15:15:15,3800.644,5242.694,2511.231,-56.219,224.406,2.2,100.9,203.983,894.258,0.319,13
fd00::216:16:16:16,0.0,0.0,10371.0,0.0,145215.0,23.0,23740.0,0.0,0.0,4.0,14
fd00::217:17:17:17,3158.36,2901.594,2449.078,-83.029,247.127,2.205,104.591,166.166,984.542,0.078,15
fd00::218:18:18:18,5432.839,8385.547,1997.388,-73.685,228.733,3.005,91.254,204.642,815.741,0.111,16
fd00::219:19:19:19,6114.061,7682.333,4215.242,-52.364,4424.97,5.788,908.091,711.333,993.455,1.061,17
fd00::21a:1a:1a:1a,0.0,24843.0,18695.75,-52.75,41024.75,1.75,4633.5,511.25,533.0,2.0,18
fd00::21b:1b:1b:1b,8449.19,6918.714,13207.952,-66.952,4486.095,8.238,1401.619,754.714,896.048,1.381,19
fd00::21c:1c:1c:1c,3320.645,4204.738,2978.7,-62.188,181.262,4.403,107.607,232.796,996.652,0.188,20
fd00::21d:1d:1d:1d,4916.611,6617.909,2925.185,-62.298,274.857,3.819,127.219,158.94,866.37,0.223,21
fd00::21e:1e:1e:1e,8589.857,13153.107,9454.429,-68.214,3403.25,6.0,1074.0,864.75,1011.464,1.143,22
fd00::21f:1f:1f:1f,0.0,0.0,1744.0,0.0,159225.0,5.0,17232.0,0.0,3.0,2.0,23
fd00::221:21:21:21,2775.093,2880.533,2471.944,-90.96,229.505,2.682,108.698,262.526,1020.698,0.112,24
fd00::222:22:22:22,2914.375,2713.75,1929.0,-45.0,8583.375,1.5,1210.125,388.625,482.625,1.0,25
fd00::223:23:23:23,11025.625,15467.875,7621.5,-69.875,8904.438,3.562,2043.312,1002.438,1166.812,1.0,26
