node,bin,bin_start_ms,bin_end_ms,rate_pkts_per_s,kind
fd00::209:9:9:9,5099,5099000,5100000,0.0,server_sent
fd00::209:9:9:9,5112,5112000,5113000,2.0,server_sent
fd00::209:9:9:9,15138,15138000,15139000,1002.0,server_sent
fd00::209:9:9:9,15200,15200000,15201000,7.0,server_sent
fd00::20a:a:a:a,19665,19665000,19666000,0.0,server_sent
fd00::20a:a:a:a,19683,19683000,19684000,2.0,server_sent
fd00::20c:c:c:c,11809,11809000,11810000,0.0,server_sent
fd00::20c:c:c:c,11828,11828000,11829000,2.0,server_sent
fd00::20c:c:c:c,11837,11837000,11838000,1.0,server_sent
fd00::20c:c:c:c,11885,11885000,11886000,5.0,server_sent
fd00::20c:c:c:c,18958,18958000,18959000,707.0,server_sent
fd00::20c:c:c:c,18974,18974000,18975000,2.0,server_sent
fd00::20c:c:c:c,18979,18979000,18980000,0.0,server_sent
fd00::20c:c:c:c,18992,18992000,18993000,2.0,server_sent
fd00::20c:c:c:c,19004,19004000,19005000,1.0,server_sent
fd00::20c:c:c:c,19015,19015000,19016000,1.0,server_sent
fd00::20c:c:c:c,19028,19028000,19029000,1.0,server_sent
fd00::20c:c:c:c,19037,19037000,19038000,1.0,server_sent
fd00::20c:c:c:c,19066,19066000,19067000,3.0,server_sent
fd00::20c:c:c:c,19555,19555000,19556000,49.0,server_sent
fd00::20c:c:c:c,19564,19564000,19565000,1.0,server_sent
fd00::20c:c:c:c,19575,19575000,19576000,1.0,server_sent
fd00::20c:c:c:c,19586,19586000,19587000,1.0,server_sent
fd00::20c:c:c:c,19601,19601000,19602000,2.0,server_sent
fd00::20c:c:c:c,19616,19616000,19617000,1.0,server_sent
fd00::20c:c:c:c,19623,19623000,19624000,1.0,server_sent
fd00::20c:c:c:c,19635,19635000,19636000,1.0,server_sent
fd00::20c:c:c:c,19642,19642000,19643000,1.0,server_sent
fd00::20c:c:c:c,19656,19656000,19657000,1.0,server_sent
fd00::20c:c:c:c,19663,19663000,19664000,1.0,server_sent
